manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2016,5,172,6,1,5.0,1,3,0,310000,265000000.0,1
2010,4,276,0,1,5.0,1,3,12,92000,225000000.0,1
2023,2,232,6,9,16.0,2,2,4,0,849000000.0,0
2018,6,5,6,7,5.0,1,3,12,21000,550000000.0,1
2014,1,87,6,7,5.0,1,3,1,80000,268000000.0,1
2017,10,109,3,6,7.0,2,2,11,98000,669000000.0,1
2014,6,50,6,6,5.0,1,3,12,116000,469000000.0,1
2015,5,141,6,7,5.0,2,3,0,9897,315000000.0,1
2015,10,270,4,1,5.0,1,3,12,60000,345000000.0,1
2023,4,204,6,8,7.0,1,2,12,0,1275000000.0,0
1996,10,84,2,7,4.0,2,3,11,150000,100000000.0,1
2021,4,94,6,7,5.0,1,3,12,107000,49000000.0,1
2023,8,269,3,8,7.0,1,3,12,0,698000000.0,0
2004,5,219,6,7,5.0,2,3,8,200000,58000000.0,1
2019,4,126,6,1,5.0,1,3,12,68000,325000000.0,1
2019,7,41,8,7,5.0,1,3,12,45000,1199000000.0,1
2023,2,99,4,6,7.0,1,2,0,0,1099000000.0,0
