iter	MAE	RMSE
714	30642314.74	52506161.61
715	30645838.52	52498038.67
716	30614491.74	52472246.28
717	30619200.01	52463197.96
718	30612739.44	52449894.76
719	30616379.48	52446431.64
720	30585057.08	52403355.73
721	30577894.24	52398737.24
722	30570239.54	52393410.82
723	30567482.75	52395457.67
724	30567877.76	52390991.2
725	30567545.47	52386438.99
726	30568443.55	52381892.25
727	30559318.3	52374975.16
728	30546878.67	52350511.37
729	30548751.1	52348315.99
730	30523422.61	52326344.05
731	30524860.21	52334492.21
732	30532552.46	52342023.61
733	30543708.46	52339534.54
734	30543972.54	52334700.32
735	30550700.88	52338457.15
736	30523173.36	52325625.41
737	30512340.54	52320827.56
738	30508429.55	52322564.62
739	30515394.62	52302549.2
740	30508935.23	52285882.57
741	30497723.73	52270936.4
742	30488723.53	52258332.28
743	30483557.93	52254435.77
744	30483650.09	52248772.05
745	30481553.09	52239590.75
746	30479246.04	52244996.64
747	30470888.59	52243980.82
748	30479528.86	52251866.63
749	30479602.68	52242237.06
750	30479550.24	52236130.86
751	30477851.16	52225910.34
752	30469359.44	52198300.95
753	30449336.8	52177603.72
754	30445048.84	52175726.82
755	30446387.58	52169018.58
756	30431645.76	52139439.21
757	30432322.93	52135544.89
758	30413863.87	52124023.79
759	30415872.56	52125198.51
760	30412624.93	52117991.11
761	30424597.93	52129537.02
762	30420838.2	52123673.29
763	30420191.87	52093771.08
764	30403604.2	52078619.42
765	30388537.19	52068690.75
766	30384796.62	52066591.71
767	30390246	52070672.73
768	30370045.01	52051296.01
769	30373948.73	52060097.92
770	30353564.53	52038231.98
771	30351680.77	52037031.29
772	30337012.24	52001092.89
773	30318037.18	51977602.51
774	30312680.59	51949529.32
775	30308047.38	51939676.32
776	30312359.27	51943503.71
777	30304700.54	51927335.14
778	30302054.44	51939243.46
779	30303021.34	51923183.15
780	30296841.51	51897908.01
781	30301518.61	51903791.8
782	30293887.14	51876875.27
783	30276501.32	51828145.35
784	30277665.77	51825975.77
785	30266960.91	51814890.61
786	30247576.65	51791875.99
787	30227106.61	51775817.12
788	30228788.92	51778425.01
789	30228378.39	51778465.87
790	30204886.32	51750433.56
791	30195527.1	51747121.36
792	30206935.22	51750828.81
793	30211298.01	51730331.34
794	30206514.54	51726312.81
795	30220216.15	51727038.46
796	30217223.19	51736087.46
797	30219448.93	51728557.42
798	30215185.78	51727945.13
799	30210742.72	51727594.88
800	30204022.43	51720320.28
801	30205683.2	51713484.81
802	30213389.2	51687330.74
